trial,focal_length,simulation_success,focal_length_mm,plate_scale_arcsec_per_pixel,centroid_accuracy_pixels,bearing_error_arcsec,attitude_error_arcsec,centroid_accuracy_um,bearing_error_vector_arcsec
35,25.052925136158414,True,25.052925136158414,45.28239429900703,,,,,
36,24.994272939396808,True,24.994272939396808,45.38865511750341,,,,,
37,24.963342776941733,True,24.963342776941733,45.44489271712883,,,,,
38,25.14988590459102,True,25.14988590459102,45.10781634011067,,,,,
39,25.15157826026339,True,25.15157826026339,45.10478120378398,,,,,
40,24.964356078133864,True,24.964356078133864,45.4430481126126,,,,,
41,25.158237404660234,True,25.158237404660234,45.092842400353796,,,,,
42,25.049438565739365,True,25.049438565739365,45.2886970453162,,,,,
43,25.096395446729897,True,25.096395446729897,45.203959140947134,,,,,
44,24.967427304109425,True,24.967427304109425,45.43745819467382,,,,,
45,24.877102995467297,True,24.877102995467297,45.60243347329198,,,,,
46,25.00729461615924,True,25.00729461615924,45.36502055788017,,,,,
47,25.029834033744564,True,25.029834033744564,45.32416926255226,,,,,
48,24.94882213226256,True,24.94882213226256,45.47134242830679,,,,,
49,25.098823009783814,True,25.098823009783814,45.1995870052076,,,,,
50,25.030783358753098,True,25.030783358753098,45.32245028449411,,,,,
51,25.022470101687706,True,25.022470101687706,45.337507837905804,,,,,
52,25.039154196956357,True,25.039154196956357,45.307298538739346,,,,,
53,25.04666516722152,True,25.04666516722152,45.29371182889805,,,,,
54,25.07823525956719,True,25.07823525956719,45.23669319699208,,,,,
55,25.143860918836083,True,25.143860918836083,45.118625099821955,,,,,
56,24.946127376521815,True,24.946127376521815,45.47625437953667,,,,,
57,25.076369909685514,True,25.076369909685514,45.24005820798076,,,,,
58,25.09652833624356,True,25.09652833624356,45.20371977986638,,,,,
59,25.121955665745322,True,25.121955665745322,45.15796657924612,,,,,
60,24.93226565636827,True,24.93226565636827,45.501538046914874,,,,,
61,25.01162782901038,True,25.01162782901038,45.357161161785776,,,,,
62,24.97253695132178,True,24.97253695132178,45.4281612064642,,,,,
63,25.047248919525043,True,25.047248919525043,45.29265621162446,,,,,
64,24.99412179869989,True,24.99412179869989,45.388929584957076,,,,,
65,24.994343277983894,True,24.994343277983894,45.38852738564684,,,,,
66,24.92410061726392,True,24.92410061726392,45.5164441750503,,,,,
67,24.881954746562137,True,24.881954746562137,45.59354142044545,,,,,
68,25.105829195168155,True,25.105829195168155,45.186973333562165,,,,,
69,24.903916115135097,True,24.903916115135097,45.55333503029171,,,,,
70,25.01009889184519,True,25.01009889184519,45.35993397166981,,,,,
71,24.836219987775305,True,24.836219987775305,45.67749983360686,,,,,
72,24.980047578707524,True,24.980047578707524,45.414502545864536,,,,,
73,24.977381135810546,True,24.977381135810546,45.4193507393991,,,,,
74,24.94005150829516,True,24.94005150829516,45.48733325517412,,,,,
75,24.933832263293027,True,24.933832263293027,45.49867915928626,,,,,
76,24.91563118456595,True,24.91563118456595,45.53191632816318,,,,,
77,25.007074070226604,True,25.007074070226604,45.3654206475004,,,,,
78,24.90313831211087,True,24.90313831211087,45.55475780365089,,,,,
79,24.96070259027077,True,24.96070259027077,45.44969959304032,,,,,
80,24.96577235117321,True,24.96577235117321,45.440470192612274,,,,,
81,25.002091108954957,True,25.002091108954957,45.37446205660388,,,,,
82,25.002234964883502,True,25.002234964883502,45.3742009845285,,,,,
83,25.046484286065603,True,25.046484286065603,45.29403893185021,,,,,
84,25.056540317314646,True,25.056540317314646,45.27586091265339,,,,,
85,25.097149869223276,True,25.097149869223276,45.202600306029886,,,,,
86,24.89522434709117,True,24.89522434709117,45.569239246144136,,,,,
87,25.035281862944796,True,25.035281862944796,45.31430644837919,,,,,
88,24.905123833888208,True,24.905123833888208,45.55112602232413,,,,,
89,24.971527036021804,True,24.971527036021804,45.429998442728774,,,,,
90,25.08642621439386,True,25.08642621439386,45.2219229898961,,,,,
91,24.971755849953293,True,24.971755849953293,45.42958217177795,,,,,
92,25.089191834010137,True,25.089191834010137,45.216938108831215,,,,,
93,25.03022251059693,True,25.03022251059693,45.323465817323054,,,,,
94,25.05232525511738,True,25.05232525511738,45.28347859156496,,,,,
95,24.900842512901637,True,24.900842512901637,45.558957845351806,,,,,
96,25.077834424050188,True,25.077834424050188,45.23741624480388,,,,,
97,24.96380884900722,True,24.96380884900722,45.444044265069984,,,,,
